Run,Host,geo_loc_name_country
SRR8600334,Badger,United Kingdom
SRR8600335,Badger,United Kingdom
SRR8600336,Badger,United Kingdom
SRR8600337,Cattle,United Kingdom
SRR8600338,Cattle,United Kingdom
SRR8600339,Cattle,United Kingdom
SRR8600340,Cattle,United Kingdom
SRR8600341,Cattle,United Kingdom
SRR8600342,Cattle,United Kingdom
SRR11294512,Cattle,Mexico
SRR11294513,Cattle,Mexico
SRR11294514,Cattle,Mexico
SRR11294515,Cattle,Mexico
SRR11294516,Cattle,Mexico
SRR11294517,Cattle,Mexico
SRR11294518,Cattle,Mexico
SRR11294519,Cattle,Mexico
SRR11294520,Cattle,Mexico
SRR11294521,Cattle,Mexico
SRR11294522,Cattle,Mexico
SRR11294523,Cattle,Mexico
SRR11294524,Cattle,Mexico
SRR11294525,Cattle,Mexico
SRR11294526,Cattle,Mexico
SRR11294527,Cattle,Mexico
SRR11294528,Cattle,Mexico
SRR11294529,Cattle,Mexico
SRR11294530,Cattle,Mexico
SRR11294531,Cattle,Mexico
SRR11294532,Cattle,Mexico
SRR11294533,Cattle,Mexico
SRR11294534,Cattle,Mexico
SRR11294535,Cattle,Mexico
SRR11294536,Cattle,Mexico
SRR11294537,Cattle,Mexico
SRR11294538,Cattle,Mexico
SRR11294539,Cattle,Mexico
SRR11294540,Cattle,Mexico
SRR11294541,Cattle,Mexico
SRR11294542,Cattle,Mexico
SRR11294543,Cattle,Mexico
SRR11294544,Cattle,Mexico
SRR11294545,Cattle,Mexico
SRR7851300,Cattle,France
SRR7851301,Cattle,France
SRR7851302,Cattle,France
SRR7851303,Goat,France
SRR7851304,Cattle,France
SRR7851305,Cattle,France
SRR7851306,Cattle,France
SRR7851307,Cattle,France
SRR7851308,Cattle,France
SRR7851309,Cattle,France
SRR7851310,Cattle,France
SRR7851311,Cattle,France
SRR7851312,Cattle,France
SRR7851313,Cattle,France
SRR7851314,Cattle,France
SRR7851315,Cattle,France
SRR7851316,Cattle,France
SRR7851317,Cattle,France
SRR7851318,Cattle,France
SRR7851319,Cattle,France
SRR7851320,Cattle,France
SRR7851321,Cattle,France
SRR7851322,Cattle,France
SRR7851323,Cattle,France
SRR7851324,Cattle,France
SRR7851325,Cattle,France
SRR7851326,Cattle,France
SRR7851327,Cattle,France
SRR7851328,Porcine,France
SRR7851329,Cattle,France
SRR7851330,Cervid,France
SRR7851331,Cattle,France
SRR7851332,Cattle,France
SRR7851333,Cattle,France
SRR7851334,Cattle,France
SRR7851335,Cattle,France
SRR7851336,Cattle,France
SRR7851337,Cattle,France
SRR7851338,Cattle,France
SRR7851339,Cattle,France
SRR7851340,Cattle,France
SRR7851341,Cattle,France
SRR7851342,Cattle,France
SRR7851343,Cattle,France
SRR7851344,Cattle,France
SRR7851345,Cattle,France
SRR7851346,Cattle,France
SRR7851347,Cattle,France
SRR7851348,Cattle,France
SRR7851349,Cattle,France
SRR7851350,Cattle,France
SRR7851351,Cattle,France
SRR7851352,Cattle,France
SRR7851353,Cattle,France
SRR7851354,Cattle,France
SRR7851355,Cattle,France
SRR7851356,Cattle,France
SRR7851357,Cattle,France
SRR7851358,Sheep,France
SRR7851359,Cattle,France
SRR7851360,Cattle,France
SRR7851361,Cattle,France
SRR7851362,Cattle,France
SRR7851363,Cattle,France
SRR7851364,Cattle,France
SRR7851365,Cattle,France
SRR7851366,Cattle,France
SRR7851367,Cattle,France
SRR7851368,Cattle,France
SRR7851369,Cattle,France
SRR7851370,Cattle,France
SRR7851371,Cattle,France
SRR7851372,Cattle,France
SRR7851373,Cattle,France
SRR7851374,Cattle,France
SRR7851375,Cattle,France
SRR7851376,Cattle,France
SRR7851377,Cattle,France
SRR7851378,Cattle,France
SRR7851379,Cattle,France
